Country	Region	Happiness score	Log (GDP Per Capita)	Social support	Healthy life expectancy	Freedom to make life choices	Generosity	Perceptions of corruption
Ecuador	Latin America and Caribbean	5.9251999855042	9.2460584640503	0.8364189863205	68.500038146973	0.8598289489746	-0.127014964819	0.8012151122093
Portugal	Western Europe	5.9109001159668	10.263742446899	0.886590719223	72.40202331543	0.8887478113174	-0.220714300871	0.8926295042038
Jamaica	Latin America and Caribbean	5.8898000717163	9.0062503814697	0.9157018661499	67.099998474121	0.8580685257912	-0.12510676682	0.8888900279999
South Korea	East Asia	5.8723998069763	10.510566711426	0.7993871569633	73.602729797363	0.6129651069641	-0.043404031545	0.7890674471855
Japan	East Asia	5.8708000183106	10.579689025879	0.883545935154	75.000968933106	0.8099613785744	-0.246910348535	0.6545580625534
Peru	Latin America and Caribbean	5.7968001365662	9.4563131332398	0.8310752511024	68.100234985352	0.824766099453	-0.162388220429	0.8937149643898
Serbia	Central and Eastern Europe	5.7782001495361	9.6809806823731	0.8814757466316	68.210205078125	0.7264958620071	-0.073676221073	0.8435090184212
Bolivia	Latin America and Caribbean	5.7474999427795	8.8511152267456	0.8031086921692	63.600471496582	0.8758733272552	-0.09168113023	0.8226062059402
Pakistan	South Asia	5.6932997703552	8.4827270507813	0.6890622973442	58.253135681152	0.7348337173462	0.0448998697102	0.7457054257393
Paraguay	Latin America and Caribbean	5.6921000480652	9.3899822235107	0.8987278938293	65.639938354492	0.8859234452248	0.0079977130517	0.8347885012627
Dominican Republic	Latin America and Caribbean	5.689199924469	9.6648807525635	0.8820853829384	65.807487487793	0.8662027716637	-0.131263285875	0.7559999227524
Bosnia and Herzegovina	Central and Eastern Europe	5.6740999221802	9.4558172225952	0.8292041420937	67.808135986328	0.6513527035713	0.0982745587826	0.9337691068649
Moldova	Commonwealth of Independent States	5.607500076294	8.7767143249512	0.843313574791	65.01301574707	0.7216091752052	-0.037741038948	0.9133142828941
Tajikistan	Commonwealth of Independent States	5.5556998252869	8.0248107910156	0.8352971076965	64.104591369629	0.8313834071159	-0.025088511407	0.5920760631561
Montenegro	Central and Eastern Europe	5.5461001396179	9.7518606185913	0.8553146123886	68.505348205566	0.6495656371117	-0.075600355864	0.7831215858459
Russia	Commonwealth of Independent States	5.5460000038147	10.128871917725	0.9031507372856	64.100456237793	0.7298926115036	-0.151153743267	0.8648025989532
Kyrgyzstan	Commonwealth of Independent States	5.5415000915527	8.1484050750732	0.8872284889221	64.106010437012	0.9093748927116	0.1547720581293	0.8883960843086
